LAT;;;;;43.7001
LON;;;;;-79.4163
ASL;;;;;175.000
CITY;;;;;Toronto
DOMAIN;;;;;NEMSGLOBAL
LEVEL;;;;;2 m above gnd
NAME;;;;;Temperature
UNIT;;;;;°C
AGGREGATION;;;;;
UTC_OFFSET;;;;;-4

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd]
2019;05;25;06;00;11.84
2019;05;25;07;00;12.34
2019;05;25;08;00;11.85
2019;05;25;09;00;13.07
2019;05;25;10;00;14.34
2019;05;25;11;00;15.37
2019;05;25;12;00;16.04
2019;05;25;13;00;17.24
2019;05;25;14;00;18.94
2019;05;25;15;00;19.90
2019;05;25;16;00;20.70
2019;05;25;17;00;20.13
2019;05;25;18;00;20.47
2019;05;25;19;00;21.90
2019;05;25;20;00;22.03
2019;05;25;21;00;20.70
2019;05;25;22;00;19.45
2019;05;25;23;00;18.29
2019;05;26;00;00;17.51
2019;05;26;01;00;16.84
2019;05;26;02;00;16.93
2019;05;26;03;00;17.07
2019;05;26;04;00;17.12
2019;05;26;05;00;17.30
2019;05;26;06;00;17.28
2019;05;26;07;00;17.69
2019;05;26;08;00;17.63
2019;05;26;09;00;18.79
2019;05;26;10;00;20.23
2019;05;26;11;00;21.54
2019;05;26;12;00;22.51
2019;05;26;13;00;23.01
2019;05;26;14;00;23.18
2019;05;26;15;00;23.09
2019;05;26;16;00;22.52
2019;05;26;17;00;22.02
2019;05;26;18;00;21.50
2019;05;26;19;00;20.24
2019;05;26;20;00;18.19
2019;05;26;21;00;14.33
2019;05;26;22;00;12.31
2019;05;26;23;00;10.38
2019;05;27;00;00;8.94
2019;05;27;01;00;7.70
2019;05;27;02;00;6.85
2019;05;27;03;00;6.10
2019;05;27;04;00;5.50
2019;05;27;05;00;4.81
2019;05;27;06;00;4.55
2019;05;27;07;00;7.46
2019;05;27;08;00;12.19
2019;05;27;09;00;15.65
2019;05;27;10;00;17.70
2019;05;27;11;00;19.35
2019;05;27;12;00;20.72
2019;05;27;13;00;21.83
2019;05;27;14;00;22.23
2019;05;27;15;00;21.04
2019;05;27;16;00;20.92
2019;05;27;17;00;20.67
2019;05;27;18;00;20.36
2019;05;27;19;00;20.32
2019;05;27;20;00;18.51
2019;05;27;21;00;15.99
2019;05;27;22;00;14.45
2019;05;27;23;00;13.44
2019;05;28;00;00;12.50
2019;05;28;01;00;11.94
2019;05;28;02;00;11.60
2019;05;28;03;00;11.53
2019;05;28;04;00;11.86
2019;05;28;05;00;11.67
2019;05;28;06;00;11.44
2019;05;28;07;00;11.25
2019;05;28;08;00;11.15
2019;05;28;09;00;10.97
2019;05;28;10;00;10.85
2019;05;28;11;00;10.65
2019;05;28;12;00;10.35
2019;05;28;13;00;10.50
2019;05;28;14;00;10.66
2019;05;28;15;00;10.79
2019;05;28;16;00;10.89
2019;05;28;17;00;10.93
